X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.569619,34.71266906,花博記念公園鶴見緑地　公衆トイレ１２,はなはくきねんこうえんつるみりょくち　こうしゅうといれ１２,花博記念公園鶴見緑地　公衆トイレ１２（はなはくきねんこうえんつるみりょくち　こうしゅうといれ１２）,,大阪市以外,,公衆トイレ/車いす対応公衆便所,209,29407
135.5760572,34.71199267,花博記念公園鶴見緑地　公衆トイレ５,はなはくきねんこうえんつるみりょくち　こうしゅうといれ５,花博記念公園鶴見緑地　公衆トイレ５（はなはくきねんこうえんつるみりょくち　こうしゅうといれ５）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29400
135.5778197,34.71157064,花博記念公園鶴見緑地　公衆トイレ６,はなはくきねんこうえんつるみりょくち　こうしゅうといれ６,花博記念公園鶴見緑地　公衆トイレ６（はなはくきねんこうえんつるみりょくち　こうしゅうといれ６）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29401
135.5762404,34.710765,花博記念公園鶴見緑地　公衆トイレ７,はなはくきねんこうえんつるみりょくち　こうしゅうといれ７,花博記念公園鶴見緑地　公衆トイレ７（はなはくきねんこうえんつるみりょくち　こうしゅうといれ７）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29402
135.5786908,34.70926372,花博記念公園鶴見緑地　公衆トイレ８,はなはくきねんこうえんつるみりょくち　こうしゅうといれ８,花博記念公園鶴見緑地　公衆トイレ８（はなはくきねんこうえんつるみりょくち　こうしゅうといれ８）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29403
135.5940156,34.71172311,茨田大宮西公園　公衆トイレ,まったおおみやにしこうえん　こうしゅうといれ,茨田大宮西公園　公衆トイレ（まったおおみやにしこうえん　こうしゅうといれ）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29627
135.5722856,34.71292603,花博記念公園鶴見緑地　公衆トイレ１０,はなはくきねんこうえんつるみりょくち　こうしゅうといれ１０,花博記念公園鶴見緑地　公衆トイレ１０（はなはくきねんこうえんつるみりょくち　こうしゅうといれ１０）,,大阪市以外,,公衆トイレ/車いす対応公衆便所,209,29405
135.5690409,34.71632347,花博記念公園鶴見緑地　公衆トイレ１３,はなはくきねんこうえんつるみりょくち　こうしゅうといれ１３,花博記念公園鶴見緑地　公衆トイレ１３（はなはくきねんこうえんつるみりょくち　こうしゅうといれ１３）,,大阪市以外,,公衆トイレ/車いす対応公衆便所,209,29408
135.5728771,34.71601039,花博記念公園鶴見緑地　公衆トイレ１４,はなはくきねんこうえんつるみりょくち　こうしゅうといれ１４,花博記念公園鶴見緑地　公衆トイレ１４（はなはくきねんこうえんつるみりょくち　こうしゅうといれ１４）,,大阪市以外,,公衆トイレ/車いす対応公衆便所,209,29409
135.5779457,34.71634894,花博記念公園鶴見緑地　公衆トイレ２,はなはくきねんこうえんつるみりょくち　こうしゅうといれ２,花博記念公園鶴見緑地　公衆トイレ２（はなはくきねんこうえんつるみりょくち　こうしゅうといれ２）,,鶴見区,,公衆トイレ/車いす対応公衆便所,209,29397
